date,firstDose.daily.sinovac,firstDose.daily.biontech,firstDose.daily.total,firstDose.cumulative.sinovac,firstDose.cumulative.biontech,firstDose.cumulative.total,secondDose.daily.sinovac,secondDose.daily.biontech,secondDose.daily.total,secondDose.cumulative.sinovac,secondDose.cumulative.biontech,secondDose.cumulative.total,thirdDose.daily.sinovac,thirdDose.daily.biontech,thirdDose.daily.total,thirdDose.cumulative.sinovac,thirdDose.cumulative.biontech,thirdDose.cumulative.total,firstDose.movingAvg.sinovac,firstDose.movingAvg.total,firstDose.movingAvg.biontech,secondDose.movingAvg.sinovac,secondDose.movingAvg.total,secondDose.movingAvg.biontech,thirdDose.movingAvg.sinovac,thirdDose.movingAvg.total,thirdDose.movingAvg.biontech,totalDose.daily.sinovac,totalDose.daily.biontech,totalDose.daily.total,totalDose.cumulative.sinovac,totalDose.cumulative.biontech,totalDose.cumulative.total,totalDose.movingAvg.sinovac,totalDose.movingAvg.biontech,totalDose.movingAvg.total
16/1/2022,3989,6094,10083,1946594,3186623,5133217,1079,1598,2677,1759885,2964321,4724206,4105,10358,14463,302155,354231,656386,10186,17305,7119,1923,3562,1639,7180,19122,11942,9173,18050,27223,4008634,6505175,10513809,19289,20700,39989
17/1/2022,9784,7532,17316,1956378,3194155,5150533,1737,1178,2915,1761622,2965499,4727121,7784,12803,20587,309939,367034,676973,9746,16940,7194,1855,3430,1575,7033,18999,11967,19305,21513,40818,4027939,6526688,10554627,18633,20736,39370
18/1/2022,9120,6613,15733,1965498,3200768,5166266,1578,1586,3164,1763200,2967085,4730285,7373,12483,19856,317312,379517,696829,9313,16454,7141,1776,3383,1607,6867,18860,11993,18071,20682,38753,4046010,6547370,10593380,17956,20740,38696
19/1/2022,8991,6561,15552,1974489,3207329,5181818,1210,830,2040,1764410,2967915,4732325,7352,12424,19776,324664,391941,716605,8992,16089,7097,1741,3355,1613,6783,18799,12015,17553,19815,37368,4063563,6567185,10630748,17516,20726,38242
20/1/2022,8841,6595,15436,1983330,3213924,5197254,2050,1948,3998,1766460,2969863,4736323,7785,12765,20550,332449,404706,737155,8693,15739,7046,1721,3336,1615,6719,18693,11974,18676,21308,39984,4082239,6588493,10670732,17134,20635,37768
21/1/2022,11386,9869,21255,1994716,3223793,5218509,2143,2410,4553,1768603,2972273,4740876,7795,14454,22249,340244,419160,759404,8702,15917,7215,1694,3364,1671,6792,18967,12175,21324,26733,48057,4103563,6615226,10718789,17188,21061,38249
22/1/2022,8864,7852,16716,2003580,3231645,5235225,1732,3783,5515,1770335,2976056,4746391,5546,11476,17022,345790,430636,776426,8711,16013,7302,1647,3552,1905,6820,19215,12395,16142,23111,39253,4119705,6638337,10758042,17178,21602,38779
23/1/2022,3843,6973,10816,2007423,3238618,5246041,1127,3667,4794,1771462,2979723,4751185,4283,12086,16369,350073,442722,792795,8690,16118,7428,1654,3854,2200,6845,19487,12642,9253,22726,31979,4128958,6661063,10790021,17189,22270,39459
24/1/2022,10378,8745,19123,2017801,3247363,5265164,841,5123,5964,1772303,2984846,4757149,8773,13906,22679,358846,456628,815474,8775,16376,7601,1526,4290,2764,6987,19786,12799,19992,27774,47766,4148950,6688837,10837787,17287,23164,40451
25/1/2022,9740,8664,18404,2027541,3256027,5283568,1571,5537,7108,1773874,2990383,4764257,7741,13481,21222,366587,470109,836696,8863,16757,7894,1525,4853,3328,7039,19981,12942,19052,27682,46734,4168002,6716519,10884521,17427,24164,41592
26/1/2022,8839,8029,16868,2036380,3264056,5300436,1349,5839,7188,1775223,2996222,4771445,7010,16410,23420,373597,486519,860116,8842,16945,8104,1545,5589,4044,6990,20502,13511,17198,30278,47476,4185200,6746797,10931997,17377,25659,43036
27/1/2022,8327,6786,15113,2044707,3270842,5315549,2203,5859,8062,1777426,3002081,4779507,7141,19117,26258,380738,505636,886374,8768,16899,8131,1567,6169,4603,6898,21317,14419,17671,31762,49433,4202871,6778559,10981430,17233,27152,44385
28/1/2022,9856,7757,17613,2054563,3278599,5333162,2665,7683,10348,1780091,3009764,4789855,7092,17919,25011,387830,523555,911385,8550,16379,7829,1641,6997,5356,6798,21712,14914,19613,33359,52972,4222484,6811918,11034402,16989,28099,45088
29/1/2022,7526,6649,14175,2062089,3285248,5347337,2962,6625,9587,1783053,3016389,4799442,4883,15770,20653,392713,539325,932038,8358,16016,7658,1817,7579,5762,6703,22230,15527,15371,29044,44415,4237855,6840962,11078817,16879,28946,45825
30/1/2022,3544,6036,9580,2065633,3291284,5356917,2738,4828,7566,1785791,3021217,4807008,3004,16192,19196,395717,555517,951234,8316,15839,7524,2047,7975,5928,6521,22634,16114,9286,27056,36342,4247141,6868018,11115159,16883,29565,46448
31/1/2022,3611,353,3964,2069244,3291637,5360881,3595,51,3646,1789386,3021268,4810654,2067,755,2822,397784,556272,954056,7349,13674,6325,2440,7644,5203,5563,19797,14235,9273,1159,10432,4256414,6869177,11125591,15352,25763,41115
1/2/2022,21,8,29,2069265,3291645,5360910,41,0,41,1789427,3021268,4810695,7,8,15,397791,556280,954071,5961,11049,5088,2222,6634,4412,4458,16768,12310,69,16,85,4256483,6869193,11125676,12640,21811,34451
2/2/2022,104,0,104,2069369,3291645,5361014,157,0,157,1789584,3021268,4810852,56,0,56,397847,556280,954127,4713,8654,3941,2052,5630,3578,3464,13430,9966,317,0,317,4256800,6869193,11125993,10229,17485,27714
3/2/2022,3506,5083,8589,2072875,3296728,5369603,599,1004,1603,1790183,3022272,4812455,2947,12651,15598,400794,568931,969725,4024,7722,3698,1822,4707,2884,2865,11907,9042,7052,18738,25790,4263852,6887931,11151783,8712,15625,24336
4/2/2022,7853,7444,15297,2080728,3304172,5384900,9919,10171,20090,1800102,3032443,4832545,4512,16796,21308,405306,585727,991033,3738,7391,3653,2859,6099,3240,2497,11378,8882,22284,34411,56695,4286136,6922342,11208478,9093,15775,24868
5/2/2022,7343,6251,13594,2088071,3310423,5398494,8307,6894,15201,1808409,3039337,4847746,4905,15343,20248,410211,601070,1011281,3712,7308,3596,3622,6901,3278,2500,11320,8821,20555,28488,49043,4306691,6950830,11257521,9834,15695,25529
6/2/2022,3754,6269,10023,2091825,3316692,5408517,4722,6097,10819,1813131,3045434,4858565,3347,16407,19754,413558,617477,1031035,3742,7371,3630,3906,7365,3460,2549,11400,8851,11823,28773,40596,4318514,6979603,11298117,10196,15941,26137
7/2/2022,15033,7862,22895,2106858,3324554,5431412,12447,8698,21145,1825578,3054132,4879710,10107,19228,29335,423665,636705,1060370,5373,10076,4702,5170,9865,4695,3697,15188,11490,37587,35788,73375,4356101,7015391,11371492,14241,20888,35129
8/2/2022,18123,8517,26640,2124981,3333071,5458052,13602,7921,21523,1839180,3062053,4901233,10453,20065,30518,434118,656770,1090888,7959,13877,5918,7108,12934,5826,5190,19545,14356,42178,36503,78681,4398279,7051894,11450173,20257,26100,46357
9/2/2022,27084,10272,37356,2152065,3343343,5495408,11442,6772,18214,1850622,3068825,4919447,9291,19951,29242,443409,676721,1120130,11814,19199,7385,8720,15514,6794,6509,23715,17206,47817,36995,84812,4446096,7088889,11534985,27042,31385,58427
10/2/2022,28357,9766,38123,2180422,3353109,5533531,12230,7030,19260,1862852,3075855,4938707,10658,19811,30469,454067,696532,1150599,15364,23418,8054,10381,18036,7655,7610,25839,18229,51245,36607,87852,4497341,7125496,11622837,33356,33938,67293
11/2/2022,29072,10862,39934,2209494,3363971,5573465,13354,9445,22799,1876206,3085300,4961506,10478,20512,30990,464545,717044,1181589,18395,26938,8543,10872,18423,7551,8463,27222,18760,52904,40819,93723,4550245,7166315,11716560,37730,34853,72583
12/2/2022,20260,7961,28221,2229754,3371932,5601686,10155,8470,18625,1886361,3093770,4980131,7861,18730,26591,472406,735774,1208180,20240,29027,8787,11136,18912,7776,8885,28128,19243,38276,35161,73437,4588521,7201476,11789997,40261,35807,76068
13/2/2022,8680,7785,16465,2238434,3379717,5618151,4572,5860,10432,1890933,3099630,4990563,5168,18862,24030,477574,754636,1232210,20944,29948,9004,11115,18857,7742,9145,28739,19594,18420,32507,50927,4606941,7233983,11840924,41204,36340,77544
14/2/2022,28658,10683,39341,2267092,3390400,5657492,10375,6274,16649,1901308,3105904,5007212,12455,21184,33639,490029,775820,1265849,22891,32297,9407,10819,18215,7396,9481,29354,19874,51488,38141,89629,4658429,7272124,11930553,43190,36676,79866
15/2/2022,30158,10037,40195,2297250,3400437,5697687,10485,7327,17812,1911793,3113231,5025024,12628,20622,33250,502657,796442,1299099,24610,34234,9624,10373,17684,7311,9791,29744,19953,53271,37986,91257,4711700,7310110,12021810,44774,36888,81662
16/2/2022,30154,12517,42671,2327404,3412954,5740358,9992,7295,17287,1921785,3120526,5042311,13122,21482,34604,515779,817924,1333703,25048,34993,9944,10166,17552,7386,10339,30510,20172,53268,41294,94562,4764968,7351404,12116372,45553,37502,83055
17/2/2022,30077,12227,42304,2357481,3425181,5782662,9565,6865,16430,1931350,3127391,5058741,12742,22413,35155,528521,840337,1368858,25294,35590,10296,9785,17148,7362,10636,31180,20544,52384,41505,93889,4817352,7392909,12210261,45716,38202,83918
18/2/2022,32321,12477,44798,2389802,3437658,5827460,11646,9138,20784,1942996,3136529,5079525,12242,24192,36434,540763,864529,1405292,25758,36285,10527,9541,16860,7318,10888,31958,21069,56209,45807,102016,4873561,7438716,12312277,46188,38914,85102
19/2/2022,22833,9904,32737,2412635,3447562,5860197,9604,8928,18532,1952600,3145457,5098057,8156,19762,27918,548919,884291,1433210,26126,36930,10804,9463,16847,7384,10930,32147,21217,40593,38594,79187,4914154,7477310,12391464,46519,39405,85924
20/2/2022,8789,11050,19839,2421424,3458612,5880036,4028,5978,10006,1956628,3151435,5108063,4899,18942,23841,553818,903233,1457051,26141,37412,11271,9385,16786,7401,10892,32120,21228,17716,35970,53686,4931870,7513280,12445150,46418,39900,86318
21/2/2022,23095,14330,37425,2444519,3472942,5917461,8933,3476,12409,1965561,3154911,5120472,10863,22320,33183,564681,925553,1490234,25347,37138,11792,9179,16180,7001,10665,32055,21390,42891,40126,83017,4974761,7553406,12528167,45190,40183,85373
22/2/2022,25778,15239,41017,2470297,3488181,5958478,8858,2571,11429,1974419,3157482,5131901,10442,20717,31159,575123,946270,1521393,24721,37256,12535,8947,15268,6322,10352,31756,21404,45078,38527,83605,5019839,7591933,12611772,44020,40260,84280
23/2/2022,27699,17769,45468,2497996,3505950,6003946,7902,2275,10177,1982321,3159757,5142078,10864,22902,33766,585987,969172,1555159,24370,37655,13285,8648,14252,5604,10030,31637,21607,46465,42946,89411,5066304,7634879,12701183,43048,40496,83544
24/2/2022,27135,15512,42647,2525131,3521462,6046593,8005,3561,11566,1990326,3163318,5153644,11752,25122,36874,597739,994294,1592033,23950,37704,13754,8425,13558,5132,9888,31882,21994,46892,44195,91087,5113196,7679074,12792270,42263,40881,83144
25/2/2022,26019,11691,37710,2551150,3533153,6084303,10026,5995,16021,2000352,3169313,5169665,12619,28129,40748,610358,1022423,1632781,23050,36692,13642,8194,12877,4683,9942,32498,22556,48664,45815,94479,5161860,7724889,12886749,41186,40882,82067
26/2/2022,18825,10413,29238,2569975,3543566,6113541,8915,7922,16837,2009267,3177235,5186502,8900,27158,36058,619258,1049581,1668839,22477,36192,13715,8095,12635,4540,10048,33661,23613,36640,45493,82133,5198500,7770382,12968882,40621,41867,82488
27/2/2022,9473,10375,19848,2579448,3553941,6133389,3801,5936,9737,2013068,3183171,5196239,5882,24479,30361,625140,1074060,1699200,22575,36193,13618,8063,12597,4534,10189,34593,24404,19156,40790,59946,5217656,7811172,13028828,40827,42556,83383
28/2/2022,20366,11580,31946,2599814,3565521,6165335,6064,5472,11536,2019132,3188643,5207775,13566,28821,42387,638706,1102881,1741587,22185,35411,13226,7653,12472,4819,10575,35908,25333,39996,45873,85869,5257652,7857045,13114697,40413,43377,83790
1/3/2022,18181,10035,28216,2617995,3575556,6193551,3315,5647,8962,2022447,3194290,5216737,12601,28521,41122,651307,1131402,1782709,21100,33582,12482,6861,12119,5258,10883,37331,26447,34097,44203,78300,5291749,7901248,13192997,38844,44188,83032
2/3/2022,16720,8730,25450,2634715,3584286,6219001,2490,6379,8869,2024937,3200669,5225606,12393,27862,40255,663700,1159264,1822964,19531,30722,11191,6088,11933,5845,11102,38258,27156,31603,42971,74574,5323352,7944219,13267571,36721,44191,80913
3/3/2022,16019,7896,23915,2650734,3592182,6242916,3251,7107,10358,2028188,3207776,5235964,12904,30908,43812,676604,1190172,1866776,17943,28046,10103,5409,11760,6351,11266,39249,27983,32174,45911,78085,5355526,7990130,13345656,34619,44437,79055
4/3/2022,15666,8366,24032,2666400,3600548,6266948,5591,8740,14331,2033779,3216516,5250295,12473,32421,44894,689077,1222593,1911670,16464,26092,9628,4775,11519,6743,11246,39841,28596,33730,49527,83257,5389256,8039657,13428913,32485,44967,77452
5/3/2022,13709,8558,22267,2680109,3609106,6289215,6496,8279,14775,2040275,3224795,5265070,12172,30691,42863,701249,1253284,1954533,15733,25096,9363,4430,11224,6794,11713,40813,29100,32377,47528,79905,5421633,8087185,13508818,31876,45258,77134
6/3/2022,8634,8414,17048,2688743,3617520,6306263,3570,6154,9724,2043845,3230949,5274794,7965,27457,35422,709214,1280741,1989955,15614,24696,9083,4397,11222,6825,12011,41536,29526,20169,42025,62194,5441802,8129210,13571012,32021,45434,77455
7/3/2022,13649,7630,21279,2702392,3625150,6327542,8871,7328,16199,2052716,3238277,5290993,16484,29056,45540,725698,1309797,2035495,14654,23172,8518,4798,11888,7091,12427,41987,29559,39004,44014,83018,5480806,8173224,13654030,31879,45168,77048
8/3/2022,12357,6957,19314,2714749,3632107,6346856,10490,6757,17247,2063206,3245034,5308240,13132,28462,41594,738830,1338259,2077089,13822,21901,8079,5823,13072,7249,12503,42054,29551,35979,42176,78155,5516785,8215400,13732185,32148,44879,77027
9/3/2022,10137,5543,15680,2724886,3637650,6362536,13727,6892,20619,2076933,3251926,5328859,10587,27316,37903,749417,1365575,2114992,12882,20505,7623,7428,14750,7322,12245,41718,29473,34451,39751,74202,5551236,8255151,13806387,32555,44419,76974
10/3/2022,9832,4805,14637,2734718,3642455,6377173,15472,7043,22515,2092405,3258969,5351374,11362,28294,39656,760779,1393869,2154648,11998,19180,7182,9174,16487,7313,12025,41125,29100,36666,40142,76808,5587902,8295293,13883195,33197,43595,76791
11/3/2022,8746,4400,13146,2743464,3646855,6390319,17322,8913,26235,2109727,3267882,5377609,12147,29180,41327,772926,1423049,2195975,11009,17624,6615,10850,18188,7338,11978,40615,28637,38215,42493,80708,5626117,8337786,13963903,33837,42590,76427
12/3/2022,6574,4899,11473,2750038,3651754,6401792,13126,8167,21293,2122853,3276049,5398902,9215,26546,35761,782141,1449595,2231736,9990,16082,6093,11797,19119,7322,11556,39600,28044,28915,39612,68527,5655032,8377398,14032430,33343,41459,74802
13/3/2022,3824,4556,8380,2753862,3656310,6410172,5906,6187,12093,2128759,3282236,5410995,6876,24173,31049,789017,1473768,2262785,9303,14844,5541,12131,19457,7327,11400,38976,27575,16606,34916,51522,5671638,8412314,14083952,32834,40443,73277
14/3/2022,6986,3924,10910,2760848,3660234,6421082,17369,7197,24566,2146128,3289433,5435561,10785,24513,35298,799802,1498281,2298083,8351,13363,5012,13345,20653,7308,10586,37513,26926,35140,35634,70774,5706778,8447948,14154726,32282,39246,71528
15/3/2022,6191,3884,10075,2767039,3664118,6431157,17917,7619,25536,2164045,3297052,5461097,9818,23220,33038,809620,1521501,2331121,7470,12043,4573,14406,21837,7431,10113,36290,26177,33926,34723,68649,5740704,8482671,14223375,31988,38182,70170
16/3/2022,5004,3336,8340,2772043,3667454,6439497,17398,8155,25553,2181443,3305207,5486650,9614,22331,31945,819234,1543832,2363066,6737,10994,4258,14930,22542,7612,9974,35439,25465,32016,33822,65838,5772720,8516493,14289213,31641,37335,68975
17/3/2022,4375,3273,7648,2776418,3670727,6447145,17759,8129,25888,2199202,3313336,5512538,9149,23843,32992,828383,1567675,2396058,5957,9996,4039,15257,23023,7767,9658,34487,24829,31283,35245,66528,5804003,8551738,14355741,30872,36635,67507
18/3/2022,4534,3025,7559,2780952,3673752,6454704,21618,9738,31356,2220820,3323074,5543894,9424,24189,33613,837807,1591864,2429671,5355,9198,3842,15870,23755,7885,9269,33385,24116,35576,36952,72528,5839579,8588690,14428269,30495,35843,66338
19/3/2022,3300,2723,6023,2784252,3676475,6460727,15088,9486,24574,2235908,3332560,5568468,7084,22927,30011,844891,1614791,2459682,4888,8419,3532,16151,24224,8073,8964,32564,23599,25472,35136,60608,5865051,8623826,14488877,30003,35204,65207
20/3/2022,1459,2595,4054,2785711,3679070,6464781,5874,7078,12952,2241782,3339638,5581420,4277,20493,24770,849168,1635284,2484452,4550,7801,3251,16146,24346,8200,8593,31667,23074,11610,30166,41776,5876661,8653992,14530653,29289,34525,63814
21/3/2022,3916,2659,6575,2789627,3681729,6471356,17347,7976,25323,2259129,3347614,5606743,10601,23630,34231,859769,1658914,2518683,4111,7182,3071,16143,24455,8312,8567,31514,22948,31864,34265,66129,5908525,8688257,14596782,28821,34330,63151
22/3/2022,4176,2731,6907,2793803,3684460,6478263,17106,7309,24415,2276235,3354923,5631158,9529,22732,32261,869298,1681646,2550944,3823,6729,2906,16027,24294,8267,8525,31403,22878,30811,32772,63583,5939336,8721029,14660365,28376,34051,62427
23/3/2022,3297,2433,5730,2797100,3686893,6483993,16641,6321,22962,2292876,3361244,5654120,7908,21729,29637,877206,1703375,2580581,3580,6357,2777,15919,23924,8005,8282,31074,22792,27846,30483,58329,5967182,8751512,14718694,27780,33574,61354
24/3/2022,3091,2102,5193,2800191,3688995,6489186,17438,6132,23570,2310314,3367376,5677690,7903,23571,31474,885109,1726946,2612055,3396,6006,2610,15873,23593,7720,8104,30857,22753,28432,31805,60237,5995614,8783317,14778931,27373,33083,60456
25/3/2022,3409,2381,5790,2803600,3691376,6494976,19984,7220,27204,2330298,3374596,5704894,8347,25841,34188,893456,1752787,2646243,3235,5753,2518,15640,23000,7360,7950,30939,22989,31740,35442,67182,6027354,8818759,14846113,26825,32867,59692
26/3/2022,2402,2354,4756,2806002,3693730,6499732,14983,7110,22093,2345281,3381706,5726987,6848,24569,31417,900304,1777356,2677660,3107,5572,2465,15625,22646,7021,7916,31140,23224,24233,34033,58266,6051587,8852792,14904379,26648,32709,59357
27/3/2022,1205,1688,2893,2807207,3695418,6502625,7417,5122,12539,2352698,3386828,5739526,4541,19722,24263,904845,1797078,2701923,3071,5406,2335,15845,22587,6741,7954,31067,23113,13163,26532,39695,6064750,8879324,14944074,26870,32190,59060
28/3/2022,2752,1694,4446,2809959,3697112,6507071,16330,5166,21496,2369028,3391994,5761022,7495,18363,25858,912340,1815441,2727781,2905,5102,2198,15700,22040,6340,7510,29871,22361,26577,25223,51800,6091327,8904547,14995874,26115,30899,57013
29/3/2022,2718,1477,4195,2812677,3698589,6511266,14601,4828,19429,2383629,3396822,5780451,6561,15239,21800,918901,1830680,2749581,2696,4715,2018,15342,21328,5986,7086,28377,21291,23880,21544,45424,6115207,8926091,15041298,25124,29295,54419
30/3/2022,2565,1366,3931,2815242,3699955,6515197,14488,4210,18698,2398117,3401032,5799149,6480,13429,19909,925381,1844109,2769490,2592,4458,1866,15034,20718,5684,6882,26987,20105,23533,19005,42538,6138740,8945096,15083836,24508,27655,52163
31/3/2022,2874,1413,4287,2818116,3701368,6519484,13753,4032,17785,2411870,3405064,5816934,6277,15700,21977,931658,1859809,2791467,2561,4328,1768,14508,19892,5384,6650,25630,18980,22904,21145,44049,6161644,8966241,15127885,23719,26132,49851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
